date,max_temp_c,min_temp_c,max_temp_f,min_temp_f,avg_temp_c,avg_temp_f
2026-03-22,-4.4,-13.8,24.08,7.16,-9.100000000000001,15.619999999999997
2026-03-23,-2.3,-13.7,27.86,7.34,-8.0,17.6
2026-03-24,-6.6,-16.2,20.12,2.8400000000000034,-11.399999999999999,11.48
2026-03-25,-5.6,-16.0,21.92,3.1999999999999993,-10.8,12.559999999999999
2026-03-26,-2.9,-14.6,26.78,5.719999999999999,-8.75,16.25
2026-03-27,-3.0,-15.1,26.6,4.82,-9.05,15.71
2026-03-28,0.0,-14.6,32.0,5.719999999999999,-7.3,18.86
2026-03-29,1.9,-12.2,35.42,10.04,-5.1499999999999995,22.73
